PassengerId,pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
1,3,,"McCormack, Mr. Thomas Joseph",male,,0,0,367228,7.75,,Q,,,
2,3,,"McCoy, Miss. Agnes",female,,2,0,367226,23.25,,Q,16,,
3,3,,"McCoy, Miss. Alicia",female,,2,0,367226,23.25,,Q,16,,
4,3,,"McCoy, Mr. Bernard",male,,2,0,367226,23.25,,Q,16,,
5,3,,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,13,,
6,3,,"McEvoy, Mr. Michael",male,,0,0,36568,15.5,,Q,,,
7,3,,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,,Q,13,,
8,3,,"McGowan, Miss. Anna ""Annie""",female,15,0,0,330923,8.0292,,Q,,,
9,3,,"McGowan, Miss. Katherine",female,35,0,0,9232,7.75,,Q,,,
10,3,,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,,,
11,3,,"McNamee, Mr. Neal",male,24,1,0,376566,16.1,,S,,,
12,3,,"McNamee, Mrs. Neal (Eileen O'Leary)",female,19,1,0,376566,16.1,,S,,53,
13,3,,"McNeill, Miss. Bridget",female,,0,0,370368,7.75,,Q,,,
14,3,,"Meanwell, Miss. (Marion Ogden)",female,,0,0,SOTON/O.Q. 392087,8.05,,S,,,
15,3,,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0,343095,8.05,,S,,,
16,3,,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,,201,
17,3,,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q,,,
18,3,,"Midtsjo, Mr. Karl Albert",male,21,0,0,345501,7.775,,S,15,,
19,3,,"Miles, Mr. Frank",male,,0,0,359306,8.05,,S,,,
20,3,,"Mineff, Mr. Ivan",male,24,0,0,349233,7.8958,,S,,,
21,3,,"Minkoff, Mr. Lazar",male,21,0,0,349211,7.8958,,S,,,
22,3,,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,,S,,,
23,3,,"Mitkoff, Mr. Mito",male,,0,0,349221,7.8958,,S,,,
